UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,Temperature Difference,Mechanical Load Proxy,Torque Speed Ratio
1,M14860,M,298.1,308.6,1551.0,42.8,0.0,0,0,10.5,66382.79999999999,0.027577319587628865
2,L47181,L,298.2,308.7,1408.0,46.3,3.0,0,0,10.5,65190.399999999994,0.03286018452803406
3,L47182,L,298.1,308.5,1498.0,49.4,5.0,0,0,10.399999999999977,74001.2,0.03295530353569046
4,L47183,L,298.2,308.6,1433.0,39.5,7.0,0,0,10.400000000000034,56603.5,0.027545327754532774
5,L47184,L,298.2,308.7,1408.0,40.0,9.0,0,0,10.5,56320.0,0.028388928317955996
6,M14865,M,298.1,308.6,1425.0,41.9,11.0,0,0,10.5,59707.5,0.029382889200561008
7,L47186,L,298.1,308.6,1558.0,42.4,14.0,0,0,10.5,66059.2,0.027196921103271328
8,L47187,L,298.1,308.6,1527.0,40.2,16.0,0,0,10.5,61385.4,0.026308900523560212
9,M14868,M,298.3,308.7,1667.0,28.6,18.0,0,0,10.399999999999977,47676.200000000004,0.017146282973621103
10,M14869,M,298.5,309.0,1741.0,28.0,21.0,0,0,10.5,48748.0,0.016073478760045924
11,H29424,H,298.4,308.9,1782.0,23.9,24.0,0,0,10.5,42589.799999999996,0.013404374649467189
12,H29425,H,298.6,309.1,1423.0,44.3,29.0,0,0,10.5,63038.899999999994,0.03110955056179775
13,M14872,M,298.6,309.1,1339.0,51.1,34.0,0,0,10.5,68422.90000000001,0.03813432835820896
14,M14873,M,298.6,309.2,1742.0,30.0,37.0,0,0,10.599999999999966,52260.0,0.01721170395869191
15,L47194,L,298.6,309.2,2035.0,19.6,40.0,0,0,10.599999999999966,39886.0,0.00962671905697446
16,L47195,L,298.6,309.2,1542.0,48.4,42.0,0,0,10.599999999999966,74632.8,0.03136746597537265
17,M14876,M,298.6,309.2,1311.0,46.6,44.0,0,0,10.599999999999966,61092.6,0.03551829268292683
18,M14877,M,298.7,309.2,1410.0,45.6,47.0,0,0,10.5,64296.0,0.032317505315379164
19,H29432,H,298.8,309.2,1306.0,54.5,50.0,0,0,10.399999999999977,71177.0,0.041698546289211935
20,M14879,M,298.9,309.3,1632.0,32.5,55.0,0,0,10.400000000000034,53040.0,0.019902020820575628
21,H29434,H,298.9,309.3,1375.0,42.7,58.0,0,0,10.400000000000034,58712.50000000001,0.03103197674418605
22,L47201,L,298.8,309.3,1450.0,44.8,63.0,0,0,10.5,64959.99999999999,0.03087525844245348
23,M14882,M,298.9,309.3,1581.0,30.7,65.0,0,0,10.400000000000034,48536.7,0.01940581542351454
24,L47203,L,299.0,309.4,1758.0,25.7,68.0,0,0,10.399999999999977,45180.6,0.014610574189880614
25,M14884,M,299.0,309.4,1561.0,37.3,70.0,0,0,10.399999999999977,58225.299999999996,0.023879641485275285
26,L47205,L,299.0,309.5,1861.0,23.3,73.0,0,0,10.5,43361.3,0.01251342642320086
27,L47206,L,299.1,309.5,1503.0,39.0,75.0,0,0,10.399999999999977,58617.0,0.025930851063829786
28,H29441,H,299.1,309.4,1811.0,24.6,77.0,0,0,10.299999999999955,44550.600000000006,0.013576158940397352
29,L47208,L,299.1,309.4,1439.0,44.2,82.0,0,0,10.299999999999955,63603.8,0.030694444444444448
30,L47209,L,299.0,309.4,1693.0,30.1,84.0,0,0,10.399999999999977,50959.3,0.017768595041322315
31,M14890,M,299.1,309.5,1339.0,48.2,86.0,0,0,10.399999999999977,64539.8,0.03597014925373135
32,L47211,L,299.0,309.4,1798.0,25.5,89.0,0,0,10.399999999999977,45849.0,0.014174541411895497
33,L47212,L,299.0,309.4,1419.0,48.3,91.0,0,0,10.399999999999977,68537.7,0.03401408450704225
34,L47213,L,298.9,309.3,1665.0,32.5,93.0,0,0,10.400000000000034,54112.5,0.019507803121248498
35,M14894,M,298.8,309.1,1559.0,34.7,95.0,0,0,10.300000000000011,54097.3,0.022243589743589746
36,M14895,M,298.8,309.2,1452.0,48.6,98.0,0,0,10.399999999999977,70567.2,0.033448038540949764
37,M14896,M,298.9,309.2,1581.0,36.7,101.0,0,0,10.300000000000011,58022.700000000004,0.023198482932996208
38,L47217,L,298.8,309.1,1439.0,39.2,104.0,0,0,10.300000000000011,56408.8,0.027222222222222224
39,H29452,H,298.9,309.2,1379.0,50.7,106.0,0,0,10.300000000000011,69915.3,0.03673913043478261
40,L47219,L,298.8,309.1,1350.0,52.5,111.0,0,0,10.300000000000011,70875.0,0.038860103626943004
41,L47220,L,298.8,309.1,1362.0,45.4,113.0,0,0,10.300000000000011,61834.799999999996,0.03330887747615554
42,L47221,L,300.1,309.1,1368.0,50.8,115.0,0,0,9.0,69494.4,0.03710737764791819
43,M14902,M,298.8,309.1,1368.0,49.1,117.0,0,0,10.300000000000011,67168.8,0.03586559532505479
44,H29457,H,298.8,309.2,1372.0,48.5,120.0,0,0,10.399999999999977,66542.0,0.035324107793153675
45,M14904,M,298.8,309.1,1472.0,47.5,125.0,0,0,10.300000000000011,69920.0,0.032247114731839784
